Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United Kingdom,0.09,0.56,2.28,5.22,10.21,16.42,21.47,40.65,28.22,28.97,30.86,32.98,34.54,36.49,37.38
United States,2.48,4.45,6.85,9.47,12.64,17.16,20.02,23.60,25.15,25.85,27.07,28.04,29.14,30.00,30.37
Uruguay,,,,,0.81,1.46,3.20,4.94,7.30,9.45,11.37,13.98,17.10,21.63,24.58
Uzbekistan,,,,0.01,0.02,0.03,0.03,0.07,0.24,0.32,0.42,0.52,0.77,1.06,1.33
Vanuatu,,,,0.01,0.01,0.03,0.04,0.06,0.09,0.22,0.21,0.14,0.13,0.12,1.77
Vatican,,,,,,,,,,,,,,,
Venezuela,0.02,0.15,0.31,0.45,0.80,1.33,1.98,3.10,3.97,4.90,5.76,6.15,6.80,7.35,7.82
Viet Nam,,,0.00,0.01,0.06,0.25,0.60,1.50,2.35,3.64,4.12,4.27,5.26,5.62,6.48
Virgin Islands (US),,,,,1.37,2.75,,5.54,6.94,8.45,8.55,,,8.53,8.52
Wallis and Futuna,,,,,,,,1.61,4.99,6.42,7.82,8.40,8.81,9.53,10.42
Yemen,,,,,,0.01,0.01,0.05,0.12,0.24,0.37,0.47,0.70,1.05,1.36
Zambia,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.08,0.08,0.12,0.11,0.10,0.14
Zimbabwe,,0.01,0.02,0.05,0.07,0.08,0.08,0.12,0.14,0.37,0.25,0.25,0.52,0.73,1.04
